frame_id,group,order,declared_path,source_sha256,replacement_evidence_path,replacement_evidence_sha256,production_path,production_sha256,status,notes
head_turn_01,head_turn,1,animations/head_turn/head_turn_01.png,0632235c74cabb5d140796d16d6493adaa528116c4c03a973ee39c8ad245eb3c,,,frames/animations/head_turn/head_turn_01.png,9a5a9c80570f659ddf7270c6828b81f072d334a6908ba00d88dc241b02cd865f,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
head_turn_02,head_turn,2,animations/head_turn/head_turn_02.png,d2954a0bac8bcbef7116c209d3b68a37f3bb89d6930ab7bf9ddc338c65b0192c,,,frames/animations/head_turn/head_turn_02.png,0ae16bef6c9114d49bb105a4a3e45c6660c87f3afb1f96c3f44d0335b9118f54,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
head_turn_03,head_turn,3,animations/head_turn/head_turn_03.png,1ff87caaba1528fbbc2d71a363fd44ab9277ce62a874bcb0fb668f0edeccc57f,,,frames/animations/head_turn/head_turn_03.png,0fe89901c3ec10b1cccdd0dfeaf1c2963e818efd1fbbc695465706e8d2b8f791,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
head_turn_04,head_turn,4,animations/head_turn/head_turn_04.png,8eacda4d333a88268792e0bfb7a09c5e738247c06a2cae5d08cf5698a4496809,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/head_turn_04.png,04339e2d00169db1f9cf64314305ef6bd76271b51668b8149e338b130bc0c265,,,REQUIRES_REGENERATION,Face/head clipped at source extraction boundary
head_turn_05,head_turn,5,animations/head_turn/head_turn_05.png,288d2bea1a8373013324495cef20bf85802c1cb327059681d4a4374e30447cd1,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/head_turn_05.png,86a21673f1381ffad35a7e12e0a9aeecf1decd7bc71bbdb8c995c447dcbf505b,,,REQUIRES_REGENERATION,Face/head clipped at source extraction boundary
head_turn_06,head_turn,6,animations/head_turn/head_turn_06.png,032e8914aa05240a0c112ae1c376ced1352e42e73391ad492efc73a66d07a05f,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/head_turn_06.png,1f6a8b1c951ad79246b05b2bfd4d343a6d1411f5166690b1f4d738fe7c5e23dd,,,REQUIRES_REGENERATION,Face/head clipped at source extraction boundary
head_turn_07,head_turn,7,animations/head_turn/head_turn_07.png,02dd8185175cbe3a1601ab2f680e6f89599a09e99eadf5e7c2c07e45f297fb68,,,frames/animations/head_turn/head_turn_07.png,f8f5baf45a4455b8ecdd331bcc80cc3873438c3d6500c44c0f2287ef8449f9ae,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
head_turn_08,head_turn,8,animations/head_turn/head_turn_08.png,0a0672de215c3429f07448f3db17e065e409ca3c03ff7c1f53530131b0ff0be0,,,frames/animations/head_turn/head_turn_08.png,9dd8ada4e8d08a829a14aae0f5dbb12ba7324f6bba7cb51f07a02c111ea3c17b,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_01,expressions,1,poses/expressions/expression_01.png,544b8b8335ddcffa1a40033ee8dbd2b9c95071b81711ca7127d8f47310c57bf8,,,frames/poses/expressions/expression_01.png,8cc170dcfcb23573d48600270d35994d31d5b08b602756e924624baf5f05a2ce,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_02,expressions,2,poses/expressions/expression_02.png,64c6fa70b33da7cb1014cd5342215ae07a6ca781bd05197272a8ae4cbeed9baa,,,frames/poses/expressions/expression_02.png,511609f2bb3dcec79377227745abc777ea930973cecde6e20f9b0aff883c9a22,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_03,expressions,3,poses/expressions/expression_03.png,c993faa2d3bdc72dd2871eeb2030897af9e5391b7330f9947415496e6600a32a,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/expression_03.png,855272bda3f229b2a6dc0f497f727fc138927c4fb345ba606f3786eea3c2b572,,,REQUIRES_REGENERATION,Head clipped at source extraction boundary
expression_04,expressions,4,poses/expressions/expression_04.png,e6852507faa934e95c80be644fdb6d8a789b6e80326630ee2abdc8b55022ebf6,,,frames/poses/expressions/expression_04.png,5119f45a8f9108864a61a7109e92e976ef921d4a740673ea8e3d594eb0e0eec4,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_05,expressions,5,poses/expressions/expression_05.png,5b34545cde8d518df96a6a313a12401ba657dae6d6748922b12822f9fc1ea2ab,,,frames/poses/expressions/expression_05.png,034c1595e1b6c13691306b195b130a1e932f609b144a03a9c5259beb2b4383d8,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_06,expressions,6,poses/expressions/expression_06.png,c28572f8013b6f45cca2cbb3210bfe4fa4133265217b7f786cf18956d925b875,,,frames/poses/expressions/expression_06.png,905297baabd8880fef222e08142b00ced7052bad7d212374f96258aba70fc16d,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
expression_07,expressions,7,poses/expressions/expression_07.png,592585719930fa0e4cc4c70eb01f4bc151a35fc251869901d4403bd56d879787,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/expression_07.png,3a6321e23d699911d7dd7961e025cfb77b5234e3dd0d92aa3e81c6dbb4ee3f49,,,REQUIRES_REGENERATION,Head clipped at source extraction boundary
pose_01,useful,1,poses/useful/pose_01.png,83dcf4ca2d19f016555c01661f80ade700018d66257db2dfbf79c589043d9e2f,,,frames/poses/useful/pose_01.png,3f3602da1bb649bd2b7c0ff78cdf7714e4ccf9a91821aa9b2bda6031c3e630a4,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
pose_02,useful,2,poses/useful/pose_02.png,b33c943adde103e35f2c79622037947f63d29f0a6c9828e6d69e2757c13542ba,,,frames/poses/useful/pose_02.png,643ebe72f528bbf79c1e5a41cea4242da9d797242dfcce9574a9cfab7d2de95b,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
pose_03,useful,3,poses/useful/pose_03.png,7da63e88948fb833fbb8890164c46039ae7db096057937867c6c011dd1103cf8,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/pose_03.png,aae1c56261b6332f46c973621258aef4f09d6b49ca086f62f24d744690a8a992,,,REQUIRES_REGENERATION,Opaque source-sheet residue intersects subject crop
pose_04,useful,4,poses/useful/pose_04.png,3db63ff7dae6e94f78bd0b5233d5029f67a5053d185f58f850116bf655fe4493,,,frames/poses/useful/pose_04.png,25963090bc078722eda0bd133c8063d270fcae36175b6a1abffd14e304c660d2,PRODUCTION_READY,Deterministically isolated and bottom-center registered; source pixels preserved
pose_05,useful,5,poses/useful/pose_05.png,622126148f31688fe8726f1fb24a8e6fd39478304e942f4bb88cb16dfb224c56,../Explorer DJ Regeneration Pack v1.1/Explorer_DJ_Regeneration_Pack_v1_1/pose_05.png,2d21f2aa5c51b5e90f0f641174a0f22d91a16be93e9b649ed960bcd6de82175f,,,REQUIRES_REGENERATION,Opaque checker/background residue intersects legs
