source_frame,source_sha256,derivative_filename,dimensions,format,byte_size,sha256,intended_use
frames/animations/idle/idle_06.png,d801dfb823d3df132d6f6d28556069a24e1962c2caad93eb9d4273331bdd8981,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F06_320W_v001.webp,320x320,WEBP,10868,e9f658b4b8fc1f4b64d20c0e71c54b7c765700ee8d66a5da3c976635d9201d67,mobile/1x or compact character
frames/animations/idle/idle_06.png,d801dfb823d3df132d6f6d28556069a24e1962c2caad93eb9d4273331bdd8981,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F06_512W_v001.webp,512x512,WEBP,19034,791cbb848ef494ccd2d66304b743e29ab33c1fdabda56d2abadffefde0b0f21d,mobile high-density and tablet
frames/animations/idle/idle_06.png,d801dfb823d3df132d6f6d28556069a24e1962c2caad93eb9d4273331bdd8981,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F06_768W_v001.webp,768x768,WEBP,30250,c6c20fc9e59c9cede53eefbb2a9d2e8ad574a507d531daa6e8dd1cbdfa5efe69,desktop/high-density
frames/animations/idle/idle_07.png,d84e94405844b56b422ea14598f8336daa9d1bb73e0203a42df139dddcf60cf2,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F07_320W_v001.webp,320x320,WEBP,12102,8e269445d1e348cf052921ac1c1a842e2e41e603c422771513d5585cd8530486,mobile/1x or compact character
frames/animations/idle/idle_07.png,d84e94405844b56b422ea14598f8336daa9d1bb73e0203a42df139dddcf60cf2,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F07_512W_v001.webp,512x512,WEBP,21350,c386fd4252eb6c7ac36d83a559ccb7b99e5e62dab8721f6892c1434987bd7a13,mobile high-density and tablet
frames/animations/idle/idle_07.png,d84e94405844b56b422ea14598f8336daa9d1bb73e0203a42df139dddcf60cf2,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F07_768W_v001.webp,768x768,WEBP,34506,8214b6bcef499319fe57bf9648a547d4b2e46acbba475672454b45eb9cbdcf49,desktop/high-density
frames/animations/idle/idle_08.png,ce83ea2daa883efbe210d0c7576ea9127040513868c719576d2cbcfffbc33911,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F08_320W_v001.webp,320x320,WEBP,11170,823faa1addac652ecdcae1095ec2df304c0f7012d4ebf8ca553c7eaad6dcca64,mobile/1x or compact character
frames/animations/idle/idle_08.png,ce83ea2daa883efbe210d0c7576ea9127040513868c719576d2cbcfffbc33911,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F08_512W_v001.webp,512x512,WEBP,19748,0bcbe4dfb86ea46f5986eaf4e59835e7c88903b61e5b59352f76f1851a6af1f6,mobile high-density and tablet
frames/animations/idle/idle_08.png,ce83ea2daa883efbe210d0c7576ea9127040513868c719576d2cbcfffbc33911,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F08_768W_v001.webp,768x768,WEBP,31386,dd6274c6d8f89916a63e525f56dc8f9b5402486f007875ed82896d62c6867ddf,desktop/high-density
frames/animations/idle/idle_09.png,3394b398306908f3e9a652394bf8a3b3d9892226a9fce02f9d9e3133dcbffb70,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F09_320W_v001.webp,320x320,WEBP,9480,13a6c90db82087e2e11749f79bc852d78a5243d32a75d54e6d55686e7201bf4e,mobile/1x or compact character
frames/animations/idle/idle_09.png,3394b398306908f3e9a652394bf8a3b3d9892226a9fce02f9d9e3133dcbffb70,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F09_512W_v001.webp,512x512,WEBP,16900,437d000a6176649f3a69217f1e00bd298a8ba47563a8fcc9f08b4c9e7df4f421,mobile high-density and tablet
frames/animations/idle/idle_09.png,3394b398306908f3e9a652394bf8a3b3d9892226a9fce02f9d9e3133dcbffb70,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F09_768W_v001.webp,768x768,WEBP,27234,9449b275d6214703c282f3ca077893802a4956dbfc533b797d0d7d89bece8e9d,desktop/high-density
frames/animations/idle/idle_10.png,a69ce5df2ad822764da79bac3066499ec7115c78555be761b94944047b7bd526,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F10_320W_v001.webp,320x320,WEBP,12062,90db65f070c592caa3774ae01eb77889b40601ad183f578f3a45d3bb9a939880,mobile/1x or compact character
frames/animations/idle/idle_10.png,a69ce5df2ad822764da79bac3066499ec7115c78555be761b94944047b7bd526,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F10_512W_v001.webp,512x512,WEBP,21122,7c0a111b9a1869bc7219f2f654ec8d1fe2a6611f5c1711b108a11ed77b6bde9a,mobile high-density and tablet
frames/animations/idle/idle_10.png,a69ce5df2ad822764da79bac3066499ec7115c78555be761b94944047b7bd526,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F10_768W_v001.webp,768x768,WEBP,33372,fb49fea62e4c4455940520c43f69756f19431026925e3d6a42c6bf5f696d8a96,desktop/high-density
frames/animations/idle/idle_11.png,c3dadd28ffaf8f83d406038e618f3b034bf8987e0dfc3b3a7c79360c47f22ffc,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F11_320W_v001.webp,320x320,WEBP,10948,9143d3e21676406771bbfdd0736d6efd2cda0bde0263256df70bf6c0c360d20a,mobile/1x or compact character
frames/animations/idle/idle_11.png,c3dadd28ffaf8f83d406038e618f3b034bf8987e0dfc3b3a7c79360c47f22ffc,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F11_512W_v001.webp,512x512,WEBP,19072,17acdb70e38c3b87af312974c28ae9e9f10005aa0d72e7043612b107abc21d6c,mobile high-density and tablet
frames/animations/idle/idle_11.png,c3dadd28ffaf8f83d406038e618f3b034bf8987e0dfc3b3a7c79360c47f22ffc,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F11_768W_v001.webp,768x768,WEBP,30350,61ff80187db1ec32f0c7fe54cb7a5caf9cab3f8fe31b5098ed47d5fe891d39f5,desktop/high-density
frames/animations/idle/idle_12.png,c8c2b17a3fad7e4e9b33219e818cc4db0d8e528d03fd6047cc2ad38fd5135834,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F12_320W_v001.webp,320x320,WEBP,11832,850041e1350003f53ce815cc6eb29c88c0ce6b05214ba7fa4e931ee1167fc105,mobile/1x or compact character
frames/animations/idle/idle_12.png,c8c2b17a3fad7e4e9b33219e818cc4db0d8e528d03fd6047cc2ad38fd5135834,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F12_512W_v001.webp,512x512,WEBP,21324,3def77ff8055059956d8a252777327b68b275f8d6c4806077229b583f6294e23,mobile high-density and tablet
frames/animations/idle/idle_12.png,c8c2b17a3fad7e4e9b33219e818cc4db0d8e528d03fd6047cc2ad38fd5135834,FMD_CHAR_EXPLORERENTRY_DJ_IDLE_F12_768W_v001.webp,768x768,WEBP,33662,10cb9c51e7339e7829c3e0c591f8b0bbc30148268d91a52710b5fda93ace81d7,desktop/high-density
